"OBJECTID","SITE_CD","STRM_NM","MS_CD","UID","DT","MRG_SITE_CD","VST_NMBR","MIDLAT","MIDLONG","PRJCT","PRTCL","STRTM","DSGN_TYP","INDCTR_CLLCTD","STRM_ORDR","STRM_SZ_ORDER","STRM_SZ_BNK","NAMC_BENCHMARK","ECRGN","CLIMATE","BTMLAT","BTMLONG","TRLAT","TRLONG","TOT_RCH_LEN","FLD_STATUS","PCT_OVRHD_CVR","BK_OVRHD_CVR","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","INVSVE_INVRT_SP","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","OE_MACROINVRTBRTE","MMI_MACROINVRTBRTE","OE_MMI_MOD_USD","MOD_APPLCBLTY","MACROINVRTBRTE_CNT","TTL_N","PRD_TTL_N","TTL_P","PRD_TTL_P","SPCFC_CNDCTNCE","PRD_SPCFC_CNDCTNCE","pH","INSTNT_TEMP","MN_AG_TEMP","TRBDTY","PCT_PL","RES_PL_DEP","NM_PL","PL_FREQ","LWD_FREQ","LWD_VL","PCT_FN2","PCT_FN6","D16","D84","D50","GMTRC_MN_PRTCLE_DIAM","PL_TL_FN2","PL_TL_FN6","BankCoverFoliar","BankCoverBasal","BnkCoverFoliar_Stab","BNK_STBLTY","BNK_CVR_BDRCK","BNK_CVR_CBBLE","BNK_CVR_LWD","BnkCoverFoliarVeg","BnkCoverBasalVeg","BNKFLL_HT","INCSN_HT","CHN_INCSN","FLDPLN_CNNCTVTY","INSTRM_HBTT_CMPLXTY","BNK_AN","THLWG_DEP_CV","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FLD_WT","ENTRCH","SLPE","SNSTY","HMNINFLNC","BVR_FLW_MD","BVR_SGN","SD_CHNNLS","WTR_WTHDRWL","geometry"
6992,"MS-LS-3018","BADGER CREEK","BLM13-3018","11846",2013-07-05,NA,"1",38.4759,-105.8592,"WRSA","WADEABLE","MT_SROCK","Random","Core","4","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",38.4754,-105.8591,38.4765,-105.8595,150,"Sampled - Full Reach",0,7,0.56,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,37.1,"CO-EDAS2017 - Biotype 1",NA,269,131.6,173.7,24,31.3,1069.01,201.1,8.9,17.8,17.39,NA,NA,NA,NA,NA,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,0.17,0.38,-0.51,1.63,0.06,NA,0.55,0.19,0,5.41,3.02,NA,NA,1.57,1.18,NA,"NONE","ABSENT","ABSENT",NA,c(-105.859210166069, 38.4759061847029)
6993,"SU-LS-8323","BADGET CREEK","BLM13-8323","12364",2013-07-17,NA,"1",41.7396,-119.4736,"CA_NorthernCaliforniaDO","WADEABLE","Surprise","Random","Core","4","LS","SmallWadeable","NorthernXericBasin_SmallWadeable","NorthernXericBasin","Xeric",41.7399,-119.4744,41.7392,-119.4732,150,"Sampled - Full Reach",0,0,1.02,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,36.82777359,"NV_MMI","Pass",300,757.8,178.6,61,48.8,294.6,158.4,7.43,16.7,16.82,NA,NA,NA,NA,NA,0,0,50.5,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,0.08,0.19,-0.69,1.19,0.29,NA,0.16,0.47,0,1.92,1.29,NA,NA,0.46,1.19,NA,"NONE","ABSENT","PRESENT",NA,c(-119.473613283646, 41.7396055054883)
6994,"IF-TR-001",NA,"IF-TR-001","31AA0ED2-F752-4775-9A98-A52A9072AA9C",2016-07-07,NA,"1",44.531058,-113.855732,"ID_Statewide","WADEABLE",NA,"Targeted","Core","5","RV","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",44.531637,-113.856168,44.531194,-113.854948,150,"Sampled - Full Reach",0.5,5.1,0.97,0.02,0.04,0.04,0,100,100,100,0,"ABSENT",5,20.39283,0.245184,NA,"ColumbiaRiverBasin_PIBO","Fail",300,161.4,174.3,5.6,24.9,337,261.1,8.32,12.3,13.56,NA,16.01,0.39,3,20,0,0,6.2,6.7,22,66,41,5,0,4,NA,26,NA,74,0,1,0,NA,34,0.16,0.48,-0.38,NA,NA,153,0.43,0.34,0,7.29,6.5,NA,NA,0.89,1.38,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-113.855744722234, 44.5310642521873)
6995,"NB-LS-9119","Smith Creek","BLM14-9119","1894148863",2015-08-11,NA,"1",39.373151,-117.680174,"NV_Statewide","WADEABLE","Battle Mountain District","Random","Core","3","LS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",NA,NA,NA,NA,150,"Sampled - Interrupted Flow",97.3,96.5,1.76,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,40.53643831,"NV_MMI","Pass",300,539.8,185.8,219.2,42.5,137.8,125.2,6.7,10.1,13.9,NA,NA,NA,NA,NA,5.714,9.156,59.3,64.8,1,14,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1.7,0.18,NA,0.15,NA,NA,NA,62.8,2.28,0.47,NA,NA,1.53,NA,NA,"NONE","ABSENT","ABSENT",NA,c(-117.680186643699, 39.3731564428774)
6996,"SA-TR-1226","GROUSE CREEK - TARGET","SA-TR-1226","1A11BD42-2B8E-4292-B983-C13899A60E53",2017-07-22,NA,"1",44.871382,-113.780224,"ID_SalmonFO","WADEABLE",NA,"Targeted","Core","2","SS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",44.870806,-113.779847,44.871988,-113.780453,150,"Sampled - Full Reach",65.5,83.2,1.86,0.16,0.41,0.51,0,100,100,100,100,"ABSENT",14,14.059164,0.995792,NA,"ColumbiaRiverBasin_PIBO","Pass",300,216.1,225,78.9,37.5,89.3,115.6,7.81,15.4,10.36,NA,4.33,0.21,3,20,29.697,4.071,19,26.2,2,48,22,3,NA,NA,NA,74,NA,81,0,2,11,NA,54,0.1,0.23,-0.64,NA,NA,126,0.38,0.12,0,1.59,1.19,3.3,2.14,3.92,1.07,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-113.780236769312, 44.8713882901366)
6997,"NPRA15-SS-9228",NA,"NPRA15-9228","9E92F9C3-2968-4CDC-A5DF-D54F1606CD83",2017-07-12,NA,"1",69.767633,-159.7567,"AK_ArcticDO","WADEABLE","NPRA West","Random","Core","1",NA,"LargeWadeable",NA,"Arctic Coastal Plain",NA,69.768202,-159.755669,69.7671,-159.757183,155.6,"Sampled - Full Reach",4,20.9,1.22,0,0.85,0.16,0,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,8.53,15.4,NA,1.8,NA,NA,NA,NA,0,0,100,100,1,1,1,1,NA,NA,NA,98,NA,100,0,0,0,NA,98,0.27,0.27,-1,1,0.05,NA,0.74,0.61,0,11.82,9.59,18.6,3,0.51,1.15,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-159.756731256557, 69.7676322587058)
6998,"BS-LS-1049",NA,"AK_AN_BSWI-1049","52AF381C-30ED-4E51-8371-160DEA18AEEE",2017-08-08,NA,"1",63.330521,-160.583997,"AK_AnchorageFO","WADEABLE","BSWI","Random","Core","2",NA,"SmallWadeable",NA,"Interior Forested Lowlands and Uplands",NA,63.330452,-160.585235,63.330675,-160.583007,150,"Sampled - Full Reach",93.8,96.8,1.88,0,0.46,0.2,0,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.6,NA,8.2,2.4,NA,14.77,0,NA,0,0,0,0,80,82.9,1,9,2,1,NA,NA,NA,2,NA,93,0,0,0,NA,7,0.15,0.3,-0.6,NA,1.13,NA,NA,NA,NA,0.82,0.71,2.1,3,1.4,1.32,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-160.584021029129, 63.3305207146918)
6999,"NW-TR-1231","REEDER CREEK","NW-TR-1231","613C7D13-EB30-4762-B7B3-BB39803C50F2",2018-09-12,NA,"1",40.046999,-106.273163,"CO_NorthwestDO","WADEABLE",NA,"Targeted","Core","3","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",40.047388,-106.273643,40.046876,-106.272377,150,"Sampled - Full Reach",29.1,78.1,1.01,0,0.09,0.05,0,100,86,100,100,"ABSENT",NA,NA,NA,56.2,"CO-EDAS2017 - Biotype 1",NA,310,NA,263.8,NA,31.8,284.5,171.5,8.58,16.1,13.37,NA,3.87,0.69,1,6.7,0,0,38.3,41.3,2,4097,19,4,NA,NA,NA,71,NA,88,0,3,0,NA,56,0.28,0.46,-0.54,1.32,0.17,113,0.26,0.4,0,3.2,2.51,7.65,1.96,2.65,1.23,NA,"NONE","ABSENT","ABSENT","PRESENT",c(-106.273173438422, 40.0470053702824)
7000,"GN-SS-10518","Indian Creek","BLMMaster-10518","56B48FA4-B757-4991-9449-089CDD93B51B",2016-08-03,NA,"1",38.191188,-107.168289,"CO_RockyMountainDO","WADEABLE","GUNNISON FIELD OFFICE","Random","Core","1","SS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",38.191922,-107.168164,38.190757,-107.168505,150,"Sampled - Full Reach",85,90.9,1.79,0.01,0.04,0.02,0,100,33,100,62,"ABSENT",NA,NA,NA,33.6,"CO-EDAS2017 - Biotype 2",NA,33,236.7,182.3,77.4,48.2,78.8,91.1,6.89,8.8,10.43,NA,17.04,0.12,14,93.3,32.667,4.229,15.2,15.2,22,364,153,7,NA,NA,NA,57,NA,95,0,11,10,NA,31,0.21,0.39,-0.56,1.53,1.18,NA,0.36,0.16,0,1.26,1.05,3.58,2.84,8.2,1.13,NA,"NONE","RARE","PRESENT","ABSENT",c(-107.168299427617, 38.1911940587296)
7001,"MS-LS-3018","BADGER CREEK","BLM13-3018","54B1D9EE-E99B-4F90-AC97-BB5B6C61CB85",2018-06-17,NA,"2",38.475882,-105.859234,"CO_RockyMountainDO","WADEABLE","MT_SROCK","Random","Core","4","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",38.475314,-105.858897,38.476592,-105.859468,150,"Sampled - Full Reach",4.8,25.7,0.64,0.01,0.1,0.18,50,100,100,100,100,"ABSENT",NA,NA,NA,40.4,"CO-EDAS2017 - Biotype 1",NA,281,74.8,169.4,52.9,20.3,1092,204.2,8.81,20.3,17.39,NA,2.73,0.2,1,6.7,0,0,16.2,22.4,2,37,15,3,NA,NA,NA,31,NA,74,4,15,0,NA,23,0.18,0.29,-0.67,1.31,0.16,148,0.27,0.17,0,5.32,3.43,8.65,2.3,1.42,1,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-105.859244166074, 38.4758881846981)
7002,"NW-TR-1438","THIRD WATER GULCH","NW-TR-1438","8CB8E016-42DA-421D-B169-73F6670FDEDC",2018-06-25,NA,"1",39.582202,-107.946843,"CO_NorthwestDO","WADEABLE",NA,"Targeted","Core","1","SS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",39.581632,-107.946856,39.582748,-107.946703,150,"Sampled - Full Reach",5.9,7,0.53,0,0.07,0.01,0,91,0,100,100,"ABSENT",NA,NA,NA,55.3,"CO-EDAS2017 - Biotype 1",NA,281,NA,283.5,NA,28.7,467,243.4,8.25,18,11.72,NA,0.19,0.04,1,6.7,0,0,53.8,62,1,36,2,2,NA,NA,NA,57,NA,81,0,0,0,NA,50,0.1,0.23,-0.63,1.89,0.3,145,0.41,0.05,0,1.15,0.77,2.4,1.4,3.05,1.2,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-107.94685375489, 39.582208190101)
7004,"BS-SS-1050",NA,"AK_AN_BSWI-1050","34FDDA5B-DAC7-4C75-AA85-44B4884C63EA",2017-08-07,NA,"1",62.673045,-159.250648,"AK_AnchorageFO","WADEABLE","BSWI","Random","Core","1",NA,"SmallWadeable",NA,"Interior Forested Lowlands and Uplands",NA,62.672417,-159.25076,62.673585,-159.250424,150,"Sampled - Full Reach",44.8,66.8,1.87,0,0.54,0.2,0,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.7,NA,7.4,3.9,NA,1.1,0,NA,0,0,0,0,99,99,1,2,1,1,NA,NA,NA,98,NA,98,0,0,0,NA,73,0.14,0.24,-0.7,NA,0.78,NA,NA,NA,NA,0.66,0.43,1.83,3,2.17,1.15,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-159.250671638549, 62.673044993915)
7005,"WR-RV-10909","Douglas Creek","BLMMaster-10909","37226A43-8EB8-4807-9EE8-E51B7B77EB8C",2016-08-19,NA,"1",40.059422,-108.769769,"CO_NorthwestDO","WADEABLE","WHITE RIVER FIELD OFFICE","Random","Core","5","RV","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",40.059993,-108.769591,40.059573,-108.770633,150,"Sampled - Interrupted Flow",11.1,84,1.74,0,0.66,0.66,95,100,0,100,73,"ABSENT",NA,NA,NA,53.7,"CO-EDAS2017 - Biotype 1",NA,298,NA,162,NA,19.6,1302,458.7,8.53,23.3,18.3,NA,NA,NA,NA,NA,0,0,44.4,44.4,1,60,18,3,NA,NA,NA,26,NA,69,1,0,0,NA,36,0.37,0.78,-0.29,1.93,0.15,NA,NA,0.13,25.3,3.62,1.15,9.06,2.5,0.31,1.5,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-108.769779991622, 40.0594281910586)
7006,"W206O2","Little Creek","UNEQUAL-187","E860212B-9629-4ADC-B1EA-2F5B91992CA3",2016-08-16,NA,"2",41.659315,-111.270411,"UT_WestDesertDO","WADEABLE",NA,"Targeted","Core","2","SS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",41.659366,-111.270029,41.659301,-111.270793,150,"Sampled - Full Reach",2.4,10.2,0.73,0,0.07,0.02,0,91,95,100,95,"ABSENT",8,9.6,0.83,NA,"UT_DEQ_2015",NA,400,51,277.5,8,17.6,251.7,309.5,8.08,9.5,13.58,NA,2.35,0.19,1,6.7,0,0,59,75.2,1,10,2,2,NA,NA,NA,69,NA,55,0,0,2,NA,61,0.09,0.25,-0.58,NA,0.03,NA,0.22,0.24,0,2.59,2.37,5,1.93,0.47,2.35,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-111.270422733906, 41.659321186254)
7007,"PR-SS-11199","Graves Creek","BLMMaster-11199","7DDAF7CB-68C3-407F-AC5F-798D448DE399",2016-07-24,NA,"1",44.971753,-119.297048,"OR_PrinevilleDO","WADEABLE","PRINEVILLE DISTRICT OFFICE","Random","Core","2","SS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",44.972307,-119.296349,44.97181,-119.297846,150,"Sampled - Interrupted Flow",95.9,97.6,1.27,0.08,0.44,0.51,0,100,23,100,41,"ABSENT",8,12.365514,0.646961,NA,"OR_WesternCordillera_ColumbiaPlateau","Pass",300,424.8,230.2,15.5,38.8,217.2,197.5,7,14.9,17.5,NA,NA,NA,NA,NA,3.333,2.725,10.5,12.6,23,255,82,6,NA,NA,NA,86,NA,100,0,30,3,NA,46,0.36,0.67,-0.39,NA,NA,145,NA,0.11,8,3.67,1.39,NA,NA,2.98,1.15,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-119.29706181718, 44.9717587690296)
7008,"SW-TR-1274","COAL CREEK","SW-TR-1274","C9679657-30D1-416B-B8A7-9E8DEB61A5C1",2018-07-31,NA,"1",38.306707,-108.66307,"CO_SouthwestDO","WADEABLE",NA,"Targeted","Core","3","LS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",38.306483,-108.663978,38.306004,-108.662406,150,"Sampled - Full Reach",58.2,97.3,0.45,0,0.05,0.11,18,100,77,100,100,"PRESENT",NA,NA,NA,63.5,"CO-EDAS2017 - Biotype 1",NA,314,406.1,271.9,37.3,29,1779,421,8.01,16.7,20.07,NA,36.45,0.42,7,46.7,0,0,44.8,49.5,1,496,7,3,NA,NA,NA,21,NA,40,5,10,0,NA,22,0.48,1.1,-0.14,1.78,0.32,NA,0.47,0.27,0,2.58,2.03,4.08,1.73,3.35,1.02,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-108.663080764468, 38.3067129742465)
7009,"HC-SS-8465","NO NAME","BLM13-8465","11783",2013-07-05,NA,"1",41.3105,-119.9519,"CA_NorthernCaliforniaDO","WADEABLE","Home Camp","Random","Core","2","SS","SmallWadeable","NorthernXericBasin_SmallWadeable","NorthernXericBasin","Xeric",41.3103,-119.9527,41.3108,-119.9512,150,"Sampled - Full Reach",18.2,27.5,0.72,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,29.09044954,"NV_MMI","Pass",300,629.2,154.1,336,51.9,407.6,149.2,9.02,29.8,16.06,NA,NA,NA,NA,NA,0,0,78.1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,26,NA,NA,NA,NA,NA,0.04,2.13,0.34,31.75,0.05,NA,0.88,0.02,0,0.57,0.28,NA,NA,4.97,1.09,NA,"NONE","ABSENT","ABSENT",NA,c(-119.951913297566, 41.3105054294013)
7010,"GL-SS-1100","Unamed","GAFO-1100","EC7337DC-D349-4B13-B947-68C409C87FAB",2016-07-26,NA,"1",63.02728,-149.20093,"AK_GlennallenFO","WADEABLE","Glennallen Field Office","Random","Core","1",NA,"SmallWadeable",NA,"Alaska Range",NA,63.02779,-149.20112,63.02671,-149.20063,150,"Sampled - Full Reach",16.6,54,1.55,0.02,0.73,0.38,0,100,0,100,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,NA,7.36,2.05,NA,0,NA,NA,NA,NA,0,0,0,0,39,165,84,7,NA,NA,NA,31,NA,100,0,16,0,NA,12,0.18,0.56,-0.31,1.96,0.34,NA,0.23,0.23,0,3.15,2.76,NA,NA,4.58,1.22,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-149.200954421947, 63.0272816364196)
7011,"US-LS-10718","GRAYS LAKE OUTLET","BLMMaster-10718","AE90A271-0E93-4B85-88FA-405D6E8E76F1",2017-08-27,NA,"1",43.360231,-111.747289,"ID_UpperSnakeFO","WADEABLE","Upper Snake Field Office","Random","Core","4","LS","SmallWadeable","NorthernXericBasin_SmallWadeable","NorthernXericBasin","Xeric",43.360799,-111.747183,43.359719,-111.746842,178.4,"Sampled - Full Reach",4.4,82.3,1.96,0.22,0.65,0.68,0,100,18,86,50,"ABSENT",6,19.636515,0.305553,NA,"PIBO","Fail",300,462.2,171.4,20.1,26,361,264.3,8.43,18.3,16,NA,0,NA,0,0,0.51,0.022,22.9,27.6,2,127,34,4,NA,NA,NA,92,NA,96,0,17,0,NA,61,0.37,0.55,-0.54,NA,NA,137,0.42,0.73,0,8.62,7.13,25.05,2.86,0.37,1.45,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-111.747301092876, 43.3602373274264)
7012,"CO-SS-9403","Ute Creek","BLM14-9403","9490645304",2015-07-21,NA,"1",38.709918,-108.858393,"ColoradoPlateau","WADEABLE","COPLT","Random","Core","2","SS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",38.710261,-108.858794,38.709466,-108.85792,150,"Sampled - Full Reach",95.6,94.7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,62.7,"CO-EDAS2017 - Biotype 1",NA,309,207.4,166.8,80.5,19.5,388,396.9,8,11.9,14.29,NA,8.1,0.32,7,46.7,10.833,1.912,34.7,35.8,1,4098,25,5,NA,NA,NA,29,NA,100,NA,NA,NA,NA,NA,0.16,0.4,-0.48,1.58,0.68,124,0.59,0.17,0,1.93,1.45,NA,NA,4.6,1.29,NA,"NONE","ABSENT","PRESENT",NA,c(-108.858403850854, 38.709924013459)
7013,"DKH-SS-1009",NA,"AK_DNP_KANTISHNAHILLS_2018-1009","110860E3-9AFA-4C2C-8A6B-16BF9DC92905",2018-08-10,NA,"1",63.617275,-150.818304,"AK_DenaliNP","WADEABLE","Denali-Kantishna Hills","Random","Core","1",NA,"SmallWadeable",NA,"Alaska Range",NA,63.617161,-150.81899,63.617511,-150.817921,150,"Sampled - Full Reach",55.5,96.5,1.67,0,0.3,0.85,0,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,7.72,5.04,NA,0.28,12.4,0.4,3,20,0,0,4.8,15.2,7,122,35,4,NA,NA,NA,100,NA,100,0,0,0,NA,93,0.24,0.36,-0.64,1.21,0.91,NA,NA,NA,NA,3.38,2.37,9.15,3,2.49,2.29,NA,"NONE","RARE","ABSENT","ABSENT",c(-150.818328890305, 63.6172763238096)
7014,"MS-LS-3016","Coal Creek","BLM13-3016","1183573740",2014-06-14,NA,"1",37.64145,-112.955743,"WRSA","WADEABLE","MT_SROCK","Random","Core","4","LS","LargeWadeable","SouthernRockies_LargeWadeable","SouthernRockies","Mountains",NA,NA,37.641856,-112.956342,160,"Sampled - Full Reach",10.7,62.6,0.56,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",4,9.21276739,0.43418007,NA,"UT_DEQ_2015",NA,400,110,149.3,3.3,18.2,273,286.7,8.54,9.9,15.12,NA,4.49,0.2,2,12.5,1.875,0.212,14.3,15.7,9,200,50,5,NA,NA,NA,19,NA,38,NA,NA,NA,NA,NA,0.78,1.18,-0.3,1.35,0.17,124,0.21,0.34,0,12.24,4.29,NA,NA,2.42,NA,NA,"NONE","ABSENT","ABSENT",NA,c(-112.955754569287, 37.6414555995601)
7015,"NPRA15-SS-9220",NA,"NPRA15-9220","1000235",2015-07-16,NA,"1",70.1927,-159.3607,"AK_ArcticDO","WADEABLE","NPRA West","Random","Core","2",NA,"SmallWadeable",NA,"Arctic Coastal Plain",NA,NA,NA,NA,NA,150,"Sampled - Full Reach",0,0.6,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,62.4,NA,7.21,11.5,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.41,-0.4,NA,0.02,NA,NA,NA,0,8.34,1.62,NA,NA,NA,NA,NA,"NONE","ABSENT",NA,NA,c(-159.360731958144, 70.1926992913187)
7016,"PR-TR-011","Mid DMA SF Crooked","PR-TR-011","F1E24214-E93C-4E21-854B-2710317FC553",2016-09-12,NA,"1",43.96863,-120.04466,"OR_PrinevilleDO","WADEABLE",NA,"Targeted","Core","5","RV","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",NA,NA,NA,NA,110,"Sampled - Full Reach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",11,10.287898,1.069217,NA,"OR_WesternCordillera_ColumbiaPlateau","Pass",300,428.6,225.7,64.5,49.7,606,220.7,8.03,15.5,17.83,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,120,NA,NA,NA,9.02,NA,NA,NA,0.21,NA,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-120.044673754729, 43.9686356245948)
7017,"BS-LS-1054","RAINY CREEK","AK_AN_BSWI-1054","545F3067-0ACE-4A2C-811F-8D938A624067",2018-08-01,NA,"1",62.022448,-158.814988,"AK_AnchorageFO","WADEABLE","BSWI","Random","Core","2",NA,"SmallWadeable",NA,"Interior Forested Lowlands and Uplands",NA,62.022933,-158.815709,62.02251,-158.813578,150,"Sampled - Full Reach",86.1,98.4,2.04,0.24,0.6,0.31,0,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.8,NA,6.91,7.7,NA,9.99,0,NA,0,0,15.758,0.902,69.5,71.4,1,20,1,2,NA,NA,NA,98,NA,100,0,0,0,NA,80,0.74,0.97,-0.49,1.19,0.65,NA,NA,NA,NA,3,2.44,7.35,3,1,1.24,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-158.815011187474, 62.0224481235628)
7018,"CY-TR-1386",NA,"CY-TR-1386","F20C9C45-502E-4A3F-BDC6-22068E98A869",2017-08-17,NA,"1",66.612822,-150.689276,"AK_CentralYukonFO","WADEABLE",NA,"Targeted","Core","2",NA,"SmallWadeable",NA,"Interior Forested Lowlands and Uplands",NA,66.61308,-150.690362,66.612321,-150.68789,150,"Sampled - Full Reach",56.3,89.3,1.75,0,0.27,0.29,0,91,0,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,NA,6.1,2.7,NA,1.87,NA,NA,NA,NA,2,0.112,8.6,8.6,13,97,45,5,NA,NA,NA,79,NA,95,0,7,0,NA,63,0.34,0.7,-0.33,1.44,0.35,NA,0.29,0.49,0,4.23,4.39,10.2,3,1.23,1.09,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-150.689303829437, 66.6128231359443)
7019,"NB-RO-9127","Unnamed","BLM14-9127","8992241597",2014-08-17,NA,"1",39.162501,-117.355641,"NV_Statewide","WADEABLE","Battle Mountain District","Random","Core","5","RV","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",39.163317,-117.355515,39.161675,-117.355194,210,"Sampled - Full Reach",0.9,17.9,0.81,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,53.44746078,"NV_MMI","Pass",300,514,173.9,34.1,39.5,344.3,151,8.17,15.2,17.96,NA,32.81,0.51,3,14.3,0.952,0.158,51.7,53.1,1,56,1,2,NA,NA,NA,81,NA,100,NA,NA,NA,NA,NA,0.23,1.06,-0.03,2.15,0.11,153,0.33,0.42,0,8.76,5.79,NA,NA,0.17,1.14,NA,"NONE","ABSENT","PRESENT",NA,c(-117.355653560329, 39.1625064473525)
7020,"US-LS-10822","LITTLE LOST RIVER","BLMMaster-10822","5635B5D8-E2DC-47FF-AC7C-1087F70CEFB9",2017-08-24,NA,"1",44.037587,-113.226401,"ID_UpperSnakeFO","WADEABLE","Upper Snake Field Office","Random","Core","4","LS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",44.03729,-113.226878,44.037877,-113.226431,150,"Sampled - Full Reach",48.4,93,1.41,0.13,0.35,0.45,0,100,100,100,0,"ABSENT",12,20.320213,0.590545,NA,"PIBO","Fail",300,91.9,205.5,16.9,24,255.6,299.5,8.41,13.6,13.57,NA,0,NA,0,0,1.818,0.079,26.2,27.1,2,82,34,4,NA,NA,NA,99,NA,88,0,8,0,NA,67,0.3,0.46,-0.59,NA,NA,138,0.3,0.7,0,5.93,5.48,12.35,2.14,0.58,2.02,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-113.226413508895, 44.0375932635896)
