#
# EXTENSION TERMS AS TAB FILE FOR Darwin Core Event
# ROWTYPE: dwc:Event
#
TERM	QUALIFIED TERM	DESCRIPTION	EXAMPLES	LINK	DATA TYPE	REQUIRED
latestEonOrHighestEonothem	http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem	The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name ("Precambrian") attributable to the stratigraphic horizon from which the cataloged item was collected.	"Phanerozoic", "Proterozoic"	http://rs.tdwg.org/dwc/terms/index.htm#latestEonOrHighestEonothem	string	false
earliestEraOrLowestErathem	http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem	The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.	"Cenozoic", "Mesozoic"	http://rs.tdwg.org/dwc/terms/index.htm#earliestEraOrLowestErathem	string	false
latestEraOrHighestErathem	http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem	The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.	"Cenozoic", "Mesozoic"	http://rs.tdwg.org/dwc/terms/index.htm#latestEraOrHighestErathem	string	false
earliestPeriodOrLowestSystem	http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem	The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.	"Neogene", "Tertiary", "Quaternary"	http://rs.tdwg.org/dwc/terms/index.htm#earliestPeriodOrLowestSystem	string	false
latestPeriodOrHighestSystem	http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem	The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.	"Neogene", "Tertiary", "Quaternary"	http://rs.tdwg.org/dwc/terms/index.htm#latestPeriodOrHighestSystem	string	false
earliestEpochOrLowestSeries	http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries	The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.	"Holocene", "Pleistocene", "Ibexian Series"	http://rs.tdwg.org/dwc/terms/index.htm#earliestEpochOrLowestSeries	string	false
latestEpochOrHighestSeries	http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries	The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.	"Holocene", "Pleistocene", "Ibexian Series"	http://rs.tdwg.org/dwc/terms/index.htm#latestEpochOrHighestSeries	string	false
earliestAgeOrLowestStage	http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage	The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.	"Atlantic", "Boreal", "Skullrockian"	http://rs.tdwg.org/dwc/terms/index.htm#earliestAgeOrLowestStage	string	false
latestAgeOrHighestStage	http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage	The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.	"Atlantic", "Boreal", "Skullrockian"	http://rs.tdwg.org/dwc/terms/index.htm#latestAgeOrHighestStage	string	false
lowestBiostratigraphicZone	http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone	The full name of the lowest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.		http://rs.tdwg.org/dwc/terms/index.htm#lowestBiostratigraphicZone	string	false
highestBiostratigraphicZone	http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone	The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.		http://rs.tdwg.org/dwc/terms/index.htm#highestBiostratigraphicZone	string	false
lithostratigraphicTerms	http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms	The combination of all litho-stratigraphic names for the rock from which the cataloged item was collected.		http://rs.tdwg.org/dwc/terms/index.htm#lithostratigraphicTerms	string	false
group	http://rs.tdwg.org/dwc/terms/group	The full name of the lithostratigraphic group from which the cataloged item was collected.		http://rs.tdwg.org/dwc/terms/index.htm#group	string	false
formation	http://rs.tdwg.org/dwc/terms/formation	The full name of the lithostratigraphic formation from which the cataloged item was collected.	"Notch Peak Fromation", "House Limestone", "Fillmore Formation"	http://rs.tdwg.org/dwc/terms/index.htm#formation	string	false
member	http://rs.tdwg.org/dwc/terms/member	The full name of the lithostratigraphic member from which the cataloged item was collected.	"Lava Dam Member", "Hellnmaria Member"	http://rs.tdwg.org/dwc/terms/index.htm#member	string	false
bed	http://rs.tdwg.org/dwc/terms/bed	The full name of the lithostratigraphic bed from which the cataloged item was collected.		http://rs.tdwg.org/dwc/terms/index.htm#bed	string	false
