"SITE_ID","YEAR","VISIT_NO","LTMXSPP","LTMXDIST","LTMXDBH","LTMXSIZE","LTMXHT","LTMXCNT","LTMDDIST","LTMDDOM","LTMDSUB","LTMDDOMN","LTMDSUBN","LTSPLIST","LTFRACS","LTFRACM","LTFRACL","LTFRACX" 
"WIDP99-0614",2001,1,"Cedar/Cypress/Sequoia",5,".75-2","X",">30",11,3.5,"Firs/Hemlock","Cedar/Cypress/Sequoia",7,3,"CEDAR,HEMLOCK,HEMLOCK,HEMLOCK,HEMLOCK,HEMLOCK,HEMLOCK,HEMLOCK,CEDAR,FIR,CEDAR",11,11,11,9 
"WIDP99-0615",2001,1,"Pine",8,".3-.75","L","15-30",11,1.3714285714,"Pine"," ",5,2,"LODGEPOLE PINE,LODGEPOLE PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,SNAG PINE,SNAG PINE",11,11,4,0 
"WIDP99-0690",2002,1,"Cedar/Cypress/Sequoia",0,">2","X",">30",11,5.125,"Cedar/Cypress/Sequoia"," ",8, ,"WESTERN RED CEDAR,WESTERN RED CEDAR,WESTERN RED CEDAR,WESTERN RED CEDAR,WESTERN RED CEDAR,WESTERN RED CEDAR,WESTERN RED CEDAR,FIR,WESTERN RED CEDAR,WESTERN RED CEDAR,WESTERN RED CEDAR",11,11,11,8 
"WIDP99-0694",2002,1,"Poplar/Cottonwood",9,".3-.75","L","15-30",11,9.0909090909,"Poplar/Cottonwood"," ",11, ,"POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR",11,11,2,0 
"WIDP99-0695",2002,1,"Unknown_Conifer",20,".3-.75","L","15-30",9,23.727272727,"Unknown_Conifer","Willow",10,1,"UNKNOWN CONIFER,UNKNOWN CONIFER,WILLOW,UNKNOWN CONIFER,UNKNOWN CONIFER,UNKNOWN CONIFER,UNKNOWN CONIFER,UNKNOWN CONIFER,UNKNOWN CONIFER,UNKNOWN CONIFER,UNKNOWN CONIFER",9,9,2,0 
"WIDP99-0697",2002,1,"Firs/Hemlock",8.3,".75-2","L","15-30",11,10.145454545,"Firs/Hemlock","Pine",8,3,"FIR,FIR,PINE,FIR,FIR,FIR,PINE,PINE,FIR,FIR,FIR",11,11,11,0 
"WIDP99-0698",2002,1,"Alder/Birch",1,".3-.75","L","15-30",11,2.1666666667,"Alder/Birch","Poplar/Cottonwood",3,3,"BIRCH,COTTONWOOD,COTTONWOOD,ALDER/BIRCH,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,ALDER/BIRCH",11,11,6,0 
"WIDP99-0699",2002,1,"Cedar/Cypress/Sequoia",1,".75-2","X",">30",11,8.3333333333,"Cedar/Cypress/Sequoia","Unknown_Conifer",5,1,"CEDAR,CEDAR,CEDAR,UNKNOWN CONIFER,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR",11,11,10,6 
"WIDP99-0700",2002,1,"Poplar/Cottonwood",10,".1-.3","M","5-15",5,6.78,"Poplar/Cottonwood"," ",5, ,"POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD",5,5,0,0 
"WIDP99-0701",2002,1,"Firs/Hemlock",5,".3-.75","L","15-30",11,12.5,"Firs/Hemlock"," ",6, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,6,0 
"WIDP99-0724",2002,1,"Firs/Hemlock",15,".3-.75","L",">30",10,14.454545455,"Firs/Hemlock","Alder/Birch",8,1,"ALDER,ASPEN,FIR,FIR,FIR,FIR,PINE,FIR,FIR,FIR,FIR",10,10,5,0 
"WIDP99-0725",2002,1,"Pine",25,".75-2","X",">30",11,22,"Cedar/Cypress/Sequoia","Pine",3,3,"SPRUCE,CEDAR,UNKNOWN CONIFER,SPRUCE,CEDAR,PINE,PINE,PINE,CEDAR,CEDAR,UNKNOWN CONIFER",11,11,9,2 
"WIDP99-0726",2002,1,"Pine",25,".75-2","X",">30",11,25.454545455,"Pine","Unknown_Conifer",4,4,"PINE,UNKNOWN CONIFER,PINE,UNKNOWN CONIFER,UNKNOWN CONIFER,PINE,PINE,FIR,FIR,UNKNOWN CONIFER,UNKNOWN CONIFFR",11,11,7,2 
"WIDP99-0727",2002,1,"Unknown_Conifer",25,".3-.75","L",">30",9,24.285714286,"Unknown_Conifer","Pine",6,1,"OTHER CONIFER,WILLOW,WILLOW,WILLOW,OTHER CONIFER,PINE,OTHER CONIFER,OTHER CONIFER,OTHER CONIFER,OTHER CONIFER",9,7,4,0 
"WIDP99-0729",2002,1,"Cedar/Cypress/Sequoia",3.5,">2","X",">30",10,3.23,"Cedar/Cypress/Sequoia","Unknown_Conifer",9,1,"CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,UNKNOWN CONIFEROUS,CEDAR,CEDAR",10,10,10,9 
"WIDP99-0737",2002,1,"Firs/Hemlock",4,".75-2","X",">30",11,4.4,"Firs/Hemlock"," ",10, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,10,2 
"WIDP99-0738",2002,1,"Pine",15,".1-.3","M",">30",10,11.454545455,"Pine"," ",11, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",10,10,0,0 
"WIDP99-0768",2003,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WIDP99-0769",2003,1,"Willow",0,".75-2","L","5-15",7,0.3636363636,"Willow","Unknown",9,2,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,UNKNOWN,WILLOW,WILLOW,UNKNOWN",7,5,4,0 
"WIDP99-0770",2003,1,"Pine",10,".75-2","X",">30",11,7.75,"Firs/Hemlock","Pine",5,3,"PONDEROSA PINE,PONDEROSA PINE,DOUGLAS FIR,PONDEROSA PINE,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR",11,11,8,2 
"WIDP99-0772",2003,1,"Alder/Birch",0,".3-.75","M","5-15",11,1.4," ","Alder/Birch",8,2,"BLACK HAWTHORN,BLACK HAWTHORN,BLACK HAWTHORN,BLACK HAWTHORN,BLACK HAWTHORN,BLACK HAWTHORN,RIVER BIRCH,RIVER BIRCH,BLACK HAWTHORN,BLACK HAWTHORN,BLACK HAWTHORN",11,10,0,0 
"WMTP99-0503",2002,1,"Pine",5,".3-.75","L","15-30",11,11.636363636,"Pine","Poplar/Cottonwood",10,1,"PINE,PINE,PINE,PINE,PINE,PINE,COTTONWOOD,PINE,PINE,PINE,PINE",11,11,4,0 
"WMTP99-0505",2002,1,"Pine",14,".75-2","X",">30",11,17,"Pine"," ",9, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",11,11,11,6 
"WMTP99-0507",2002,1,"Spruce",4,".75-2","L","15-30",11,2,"Poplar/Cottonwood","Spruce",7,3,"POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,SPRUCE,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,SPRUCE,POPLAR/COTTONWOOD,FIR,SPRUCE",11,11,7,0 
"WMTP99-0509",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0510",2000,1,"Firs/Hemlock",8,".3-.75","L","15-30",10,4.875,"Poplar/Cottonwood","Firs/Hemlock",6,4,"QUAKING ASPEN,QUAKING ASPEN,DOUGLAS FIR,QUAKING ASPEN,QUAKING ASPEN,DOUGLAS FIR,QUAKING ASPEN,QUAKING ASPEN,DOUGLAS FIR,DOUGLAS FIR",10,10,5,0 
"WMTP99-0515",2000,1,"Firs/Hemlock",1,".3-.75","L","15-30",11,1.0714285714,"Firs/Hemlock","Spruce",6,1,"FIR,FIR,FIR,FIR,FIR,SPRUCE,FIR,SPRUCE,FIR,FIR,FIR",11,11,3,0 
"WMTP99-0516",2002,1,"Poplar/Cottonwood",3,".75-2","L","15-30",11,1.2,"Poplar/Cottonwood","Pine",9,1,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,PINE,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",11,11,6,0 
"WMTP99-0517",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0518",2002,1,"Poplar/Cottonwood",4,".3-.75","L","15-30",11,2.7272727273,"Poplar/Cottonwood"," ",11, ,"POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD",11,11,11,0 
"WMTP99-0521",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0523",2003,1,"Spruce",1,".75-2","L","15-30",10,6.4545454545,"Firs/Hemlock","Spruce",6,5,"SPRUCE,SPRUCE,FIR,FIR,SPRUCE,FIR,SPRUCE,SPRUCE,FIR,FIR,FIR",10,10,10,0 
"WMTP99-0600",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0604",2001,1,"Poplar/Cottonwood",29,".3-.75","L","15-30",8,21.5,"Poplar/Cottonwood"," ",8,1,"POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD",8,8,5,0 
"WMTP99-0607",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0608",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0609",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0613",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0628",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0633",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0635",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0648",2001,1,"Poplar/Cottonwood",31,".3-.75","L","15-30",8,30.0625,"Poplar/Cottonwood"," ",8, ,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",8,8,6,0 
"WMTP99-0653",2001,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0697",2002,1,"Pine",23,".3-.75","L","15-30",5,15.2,"Willow","Juniper",3,1,"PINE,WILLOW,WILLOW,WILLOW,JUNIPER",5,1,1,0 
"WMTP99-0698",2002,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0699",2002,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0701",2002,1,"Firs/Hemlock",10,".75-2","X",">30",10,7.3636363636,"Firs/Hemlock"," ",11, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",10,10,10,3 
"WMTP99-0702",2002,1,"Poplar/Cottonwood",0,".3-.75","L","15-30",11,0.5555555556,"Poplar/Cottonwood","Willow",8,1,"POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,WILLOW,WILLOW,WILLOW,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD",11,8,5,0 
"WMTP99-0703",2003,1,"Spruce",5,".75-2","X",">30",11,8.6363636364,"Spruce"," ",11, ,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,11,2 
"WMTP99-0704",2002,1,"Spruce",12,".75-2","X",">30",11,5.7272727273,"Spruce"," ",8,2,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,FIR,SPRUCE,SPRUCE,LARCH,LARCH",11,11,11,10 
"WMTP99-0705",2002,1,"Spruce",12,".75-2","X",">30",11,7.625,"Spruce","Firs/Hemlock",7,1,"SPRUCE,SPRUCE,PINE,SPRUCE,FIR,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,11,8 
"WMTP99-0707",2003,1,"Snag",14,".75-2","L","5-15",11,6.9375,"Poplar/Cottonwood","Snag",5,3,"SNAG,COTTONWOOD,SNAG,MAPLE/BOXELDER,SNAG,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,MAPLE/BOXELDER,POPLAR/COTTONWOOD",11,8,3,0 
"WMTP99-0712",2003,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0713",2002,1,"Spruce",8,".3-.75","L",">30",11,16.3,"Spruce","Poplar/Cottonwood",9,1,"SPRUCE,COTTONWOOD,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,10,0 
"WMTP99-0715",2003,1,"Snag",0.1,".1-.3","S","<5",11,0.0875,"Willow","Snag",7,1,"WILLOW,WILLOW,WILLOW,SNAG,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,0,0,0 
"WMTP99-0716",2002,1,"Spruce",2,".3-.75","L",">30",8,3.3,"Spruce","Pine",9,1,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,PINE,PINE,SPRUCE,SPRUCE,SPRUCE",8,8,7,0 
"WMTP99-0719",2002,1,"Willow",14,"0-0.1","S","5-15",11,9.6363636364,"Willow"," ",11, ,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,0,0,0 
"WMTP99-0721",2002,1,"Pine",25,".3-.75","L",">30",11,13.818181818,"Pine"," ",11, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",11,11,9,0 
"WMTP99-0722",2002,1,"Spruce",0,".3-.75","L","15-30",11,14,"Spruce"," ",7, ,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,PINE,SPRUCE,PINE",11,11,7,0 
"WMTP99-0723",2002,1,"Firs/Hemlock",29,".75-2","X",">30",11,14.272727273,"Firs/Hemlock","Poplar/Cottonwood",7,4,"FIR,FIR,FIR,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,FIR,FIR,FIR,FIR",11,11,11,1 
"WMTP99-0727",2002,1,"Willow",2,".75-2","L","<5",11,1.125,"Willow","Alder/Birch",10,1,"ALDER/BIRCH,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,3,1,0 
"WMTP99-0729",2002,1,"Poplar/Cottonwood",11,".75-2","X",">30",11,9.75,"Poplar/Cottonwood"," ",8, ,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",11,11,8,2 
"WMTP99-0731",2002,1,"Poplar/Cottonwood",48,".3-.75","M","5-15",11,42.7,"Poplar/Cottonwood","Juniper",8,1,"UNKNOWN,COTTONWOOD,COTTONWOOD,JUNIPER,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",11,8,0,0 
"WMTP99-0733",2004,1,"Willow",4,".1-.3","M","5-15",1,4,"Willow"," ",1, ,"WILLOW",1,1,0,0 
"WMTP99-0745",2002,1,"Willow",1,"0-0.1","S","<5",11,1.1818181818,"Willow"," ",11, ,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,0,0,0 
"WMTP99-0748",2003,1,"Snag",0.1,"0-0.1","S","<5",1,0.1,"Snag"," ",1, ,"SNAG",1,0,0,0 
"WMTP99-0749",2002,1,"Spruce",14,".75-2","X",">30",11,11.272727273,"Spruce","Firs/Hemlock",9,2,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,FIR,FIR,SPRUCE",11,11,11,1 
"WMTP99-0793",2003,1,"Unknown_Deciduous",1,"0-0.1","S","5-15",11,3.0909090909,"Unknown_Deciduous"," ",11, ,"OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS,OTHER DECIDUOUS",11,0,0,0 
"WMTP99-0801",2003,1,"Spruce",10,".75-2","X",">30",11,7.625,"Firs/Hemlock","Spruce",6,2,"SPRUCE,SPRUCE,FIR,FIR,FIR,FIR,SPRUCE,FIR,FIR,FIR,FIR",11,11,11,8 
"WMTP99-0803",2003,1,"Firs/Hemlock",38,".75-2","L","15-30",11,24.428571429,"Firs/Hemlock","Snag",5,2,"WILLOW,SNAG,FIR,FIR,SNAG,SNAG,FIR,FIR,FIR,FIR,ALDER/BIRCH",11,8,7,1 
"WMTP99-0804",2004,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WMTP99-0836",2003,1,"Firs/Hemlock",1,".3-.75","L","15-30",11,5.2222222222,"Spruce","Firs/Hemlock",4,3,"FIR,SPRUCE,PINE,SPRUCE,PINE,FIR,SPRUCE,SPRUCE,SPRUCE,FIR,FIR",11,11,6,0 
"WMTP99-0837",2004,1,"Snag",7,".3-.75","L","15-30",11,15.9,"Snag"," ",10, ,"SNAG,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG",11,11,10,0 
"WMTP99-0838",2003,1,"Poplar/Cottonwood",29,".75-2","L","15-30",10,17.7,"Poplar/Cottonwood","Pine",8,2,"POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,PINE,PINE,POPLAR/COTTONWOOD,PINE,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD,POPLAR/COTTONWOOD",10,10,10,0 
"WMTP99-0839",2003,1,"Pine",17,".75-2","L","15-30",10,8.1,"Pine","Spruce",9,1,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,SPRUCE,PINE,PINE",10,10,9,0 
"WNDP99-0505",2000,1," ",25,".75-2","L","15-30",11,21.333333333," ","Ash",4,1,"ELM,ELM,BURR OAK,ELM,ELM,ASH,ELM,ASH,BOX ELDER,ELM,ELM",11,11,1,0 
"WNDP99-0506",2000,1,"Maple/Boxelder",2,".3-.75","L","15-30",8,3.375,"Maple/Boxelder","Oak",7,1,"BOX ELDER,BOX ELDER,burr oak,MAPLE,BOX ELDER,BOX ELDER,BOX ELDER,MAPLE",8,8,3,0 
"WNDP99-0507",2000,1,"Ash",60,".3-.75","L","15-30",6,45,"Maple/Boxelder","Ash",5,1,"BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,ASH,BOX ELDER",6,3,1,0 
"WNDP99-0508",2000,1,"Poplar/Cottonwood",100,".75-2","X",">30",10,54.166666667,"Maple/Boxelder","Poplar/Cottonwood",4,2,"BOXELDER,BOXELDER,BOXELDER,BOXELDER,COTTONWOOD,BOXELDER,COTTONWOOD,BOXELDER,BOXELDER,BOXELDER",10,10,4,1 
"WNDP99-0514",2000,1,"Poplar/Cottonwood",120,".3-.75","L","15-30",11,62.727272727,"Poplar/Cottonwood"," ",11, ,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",11,11,5,0 
"WNDP99-0529",2000,1,"Ash",50,".3-.75","L","15-30",7,47.5,"Ash","Maple/Boxelder",5,1,"ASH,ASH,BOXELDER,ASH,ASH,ASH,box elder",7,7,5,0 
"WNDP99-0531",2000,1,"Maple/Boxelder",22,".3-.75","L","15-30",5,19,"Maple/Boxelder"," ",3, ,"BOX ELDER,BOX ELDER,RUSSIAN OLIVE,RUSSION OLIVE,BOX ELDER",5,3,1,0 
"WNDP99-0539",2000,1,"Poplar/Cottonwood",10,".75-2","L","15-30",11,42.272727273,"Poplar/Cottonwood","Maple/Boxelder",5,3,"BOXELDER,ELM,BOXELDER,ELM,BOXELDER,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,ASH",11,11,10,0 
"WNDP99-0544",2000,1," ",25,".3-.75","L","15-30",11,25.909090909," ","Maple/Boxelder",7,4,"ELM,BOX ELDER,ELM,ELM,ELM,BOX ELDER,ELM,BOXELDER,BOX ELDER,ELM,ELM",11,9,2,0 
"WNDP99-0546",2000,1,"Maple/Boxelder",10,".3-.75","M","5-15",11,16,"Maple/Boxelder"," ",11, ,"BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER,BOX ELDER",11,10,0,0 
"WNDP99-0574",2001,1,"Maple/Boxelder",3,".3-.75","M","5-15",11,10,"Maple/Boxelder"," ",8,1,"CHOKECHERRY,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER",11,3,0,0 
"WNDP99-0575",2001,1,"Maple/Boxelder",6,".3-.75","M","5-15",11,6.375,"Maple/Boxelder","Poplar/Cottonwood",7,1,"BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,COTTONWOOD",11,11,0,0 
"WNDP99-0576",2001,1,"Willow",5,"0-0.1","S","<5",11,1.7272727273,"Willow"," ",10,1,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,RUSSIAN OLIVE,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,0,0,0 
"WNDP99-0578",2001,1,"Maple/Boxelder",10,".3-.75","M","5-15",11,8.9,"Maple/Boxelder"," ",6,2,"BOXELDER,RUSSIAN OLIVE,BOXELDER,RUSSIAN OLIVE,BOXELDER,BOXELDER,BOXELDER,UNKNOWN,WILLOW,SNAG,BOXELDER",11,4,0,0 
"WNDP99-0580",2001,1," ",40,".3-.75","L","15-30",11,31.5,"Ash"," ",5,2,"AMERICAN ELM,AMERICAN ELM,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,AMERICAN ELM,GREEN ASH,GREEN ASH,AMERICAN ELM,BOXELDER",11,11,5,0 
"WNDP99-0582",2001,1,"Willow",4,".3-.75","M","5-15",5,3.6666666667," ","Maple/Boxelder",1,1,"RUSSIAN OLIVE,RUSSIAN OLIUE,BOXELDER,RUSSIAN OLIVE,WILLOW,WILLOW",5,1,0,0 
"WNDP99-0584",2001,1,"Snag",35,".3-.75","M","5-15",7,35,"Maple/Boxelder","Snag",4,2,"BOXELDER,BOXELDER,BOXELDER,SNAG,SNAG,GREEN ASH,BOXELDER",7,3,0,0 
"WNDP99-0605",2001,1,"Maple/Boxelder",15,".3-.75","M","5-15",8,23.111111111,"Maple/Boxelder","Ash",6,3,"BOXELDER,GREEN ASH,GREEN ASH,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,GREEN ASH,GREEN ASH,BOXELDER",8,8,1,0 
"WNDP99-0611",2001,1," ",10,"0-0.1","S","<5",3,11.666666667," "," ",3, ,"CHOKECHERRY,CHOKECHERRY,CHOKECHERRY",3,0,0,0 
"WNDP99-0615",2001,1,"Ash",11,".3-.75","L","15-30",11,8.2,"Ash","Maple/Boxelder",4,4,"BOXELDER,ASH,ASH,BOXELDER,COTTONWOOD,COTTONWOOD,BOXELDER,BOXELDER,ASH,ASH,ASH",11,11,1,0 
"WNDP99-0617",2001,1,"Ash",5,".1-.3","M","5-15",11,4.5454545455,"Ash"," ",11, ,"ASH,ASH,ASH,ASH,ASH,ASH,ASH,ASH,ASH,ASH,ASH",11,11,0,0 
"WNDP99-0633",2001,1,"Poplar/Cottonwood",50,".75-2","L","15-30",11,35.714285714,"Poplar/Cottonwood"," ",7, ,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",11,11,2,0 
"WNDP99-0648",2002,1,"Maple/Boxelder",8,".75-2","L","15-30",11,10.428571429,"Maple/Boxelder"," ",7, ,"BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER",11,11,7,0 
"WNDP99-0650",2002,1," ",5,".75-2","L","15-30",11,19.4,"Ash"," ",6,4,"GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,AMERICAN ELM,AMERICAN ELM,AMERICAN ELM,AMERICAN ELM",11,10,4,0 
"WNDP99-0654",2002,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WNDP99-0655",2002,1,"Ash",16,".75-2","L","15-30",11,10.444444444,"Ash"," ",5,4,"GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,GREEN ASH,BASSWOOD,BASSWOOD,BASSWOOD,BASSWOOD",11,11,11,0 
"WNDP99-0671",2002,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WNDP99-0676",2002,1," ",30,".3-.75","L","15-30",11,18.125," ","Poplar/Cottonwood",4,2,"AMERICAN ELM,GREEN ASH,BOXELDER,AMERICAN ELM,COTTONWOOD,GREEN ASH,AMERICAN ELM,AMERICAN ELM,AMERICAN ELM,COTTONWOOD,GREEN ASH",11,11,7,0 
"WNDP99-0680",2003,1,"Ash",6,".3-.75","L","15-30",11,16,"Maple/Boxelder","Ash",7,1,"ASH,ASH,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER",11,11,8,0 
"WNDP99-0683",2002,1,"Maple/Boxelder",8,".75-2","L","5-15",9,6.5555555556,"Maple/Boxelder"," ",9, ,"BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER,BOXELDER",9,9,3,0 
"WNDP99-0685",2002,1,"Maple/Boxelder",13,".3-.75","M","5-15",7,13.571428571," ","Maple/Boxelder",4,3,"BUFFALO BERRY,BUFFALO BERRY,BUFFALO BERRY,BOXELDER,BUFFALO BERRY,BOXELDER,BOXELDER",7,3,0,0 
"WNDP99-0688",2002,1,"Maple/Boxelder",40,".3-.75","M","5-15",5,40,"Maple/Boxelder"," ",3, ,"UNKNOWN,BOXELDER,BOXELDER,BOXELDER,GREEN ASH",5,3,0,0 
